id,original_title,cast,director,genres,production_companies,keywords,release_year
351868,Appetites,"['laurenparkinson', 'bretroberts', 'traviseberhard']",['cameroncasey'],"['horror', 'thriller']","['webrosentertainment', 'productioninc', 'production']",['psychopath'],2015
407575,Rosa Chumbe,"['lilianatrujillo', 'cindydíaz']",['jonatanrelayze'],['drama'],['yinzhangfilms'],"['gambling', 'baby', 'sistersisterrelationship']",2015
391709,Apprentice,"['firrahman', 'wanhanafisu', 'masturaahmad']",['boojunfeng'],['drama'],"['zhaoweifilms', 'cinémadefacto', 'augenscheinfilmproduktion', 'peanutpictures', 'akangafilmproductions']",['hangman'],2016
354287,War Machine,"['bradpitt', 'anthonyhayes', 'johnmagaro']",['davidmichôd'],"['comedy', 'drama', 'war']","['planbentertainment', 'netflix']","['journalist', 'basedonnovel', 'afghanistan']",2017
454361,Vir Das: Abroad Understanding,['virdas'],['marcusraboy'],['comedy'],['netflix'],['standupcomedy'],2017
369894,Wakefield,"['bryancranston', 'jennifergarner', 'jasonomara']",['robinswicord'],['drama'],['mockingbirdpictures'],"['nervousbreakdown', 'attic', 'womandirector']",2016
447061,Red Nose Day Actually,"['hughgrant', 'colinfirth', 'liamneeson']","['richardcurtis', 'matwhitecross']","['tvmovie', 'comedy', 'romance']","['bbcfilms', 'nbcproductions', 'portobellostudios']","['time', 'sequel', 'love']",2017
339964,Valerian and the City of a Thousand Planets,"['danedehaan', 'caradelevingne', 'cliveowen']",['lucbesson'],"['adventure', 'sciencefiction', 'action']",['europacorp'],"['shapeshifting', 'future', 'utopia']",2017
431714,Long Strange Trip,"['jerrygarcia', 'bobweir', 'mickeyhart']",['amirbarlev'],"['music', 'documentary']",['amazonstudios'],"['miniseries', 'psychedelicrock']",2017
433878,The Mars Generation,"['billnye', 'jeffreykluger', 'neildegrassetyson']",['michaelbarnett'],['documentary'],"['time', 'netflix', 'superfilms']",['kids'],2017
412280,The Northlander,"['coreysevier', 'roseannesupernault', 'michellethrush']",['benjaminrosshayden'],"['adventure', 'fantasy', 'sciencefiction']",['manifoldpicture'],"['future', 'survivor', 'vision']",2016
381070,Loev,"['shivpandit', 'dhruvganesh', 'siddharthmenon']",['sudhanshusaria'],"['drama', 'romance']","['productionsfourlinefilms', 'bombayberlinfilm']","['gay', 'bombayindia', 'friendship']",2016
382475,The Pass,"['russelltovey', 'arinzekene', 'lisamcgrillis']",['benawilliams'],['drama'],['toledoproductions'],"['gay', 'homophobia', 'professionalsoccerplayer']",2016
337747,Texas Rising,"['billpaxton', 'jeffreydeanmorgan', 'oliviermartinez']",['rolandjoffé'],"['drama', 'tvmovie', 'western']","['itvstudiosamerica', 'thinkfactorymedia', 'aestudios']",['miniseries'],2015
392734,Jeremiah Tower: The Last Magnificent,"['anthonybourdain', 'marthastewart', 'mariobatali']",['lydiatenaglia'],['documentary'],"['theorchard', 'cnnfilms']",['womandirector'],2016
260312,Les Yeux jaunes des crocodiles,"['emmanuellebéart', 'juliedepardieu', 'patrickbruel']",['céciletelerman'],['drama'],"['wildbunch', 'lesfilmsmanuelmunz', 'tf1filmsproduction']",['womandirector'],2014
372355,Kalo Pothi,"['khadkarajnepali', 'sukrarajrokaya']",['minbahadurbham'],['drama'],"['tandemcommunications', 'shooneyfilms', 'milaproductions']",['drama'],2015
459295,Sarah Silverman: A Speck of Dust,['sarahsilverman'],['liamlynch'],['comedy'],"['netflix', 'netflix', 'netflixstudios']",['standupcomedy'],2017
413666,Taekwondo,"['lucaspapa', 'gabrielepstein', 'nicolásbarsoff']","['marcoberger', 'martínfarina']","['drama', 'romance']",['cinemilagroso'],"['gay', 'homosexuality', 'gayrelationship']",2016
330333,La Fille du patron,"['olivierloustau', 'christathéret', 'florencethomassin']",['olivierloustau'],"['comedy', 'drama', 'romance']",['bethsabéemucho'],"['drama', 'comediaromant']",2016
292631,Negociador,"['ramónbarea', 'joseanbengoetxea', 'carlosareces']",['borjacobeaga'],['comedy'],"['sayakaproduccionesaudiovisuales', 'canalespaña', 'institutodelacinematografíaydelasartesaudiovisualesicaa', 'euskalirratitelebisaeitb', 'departamentodeculturadelgobiernovasco']","['politicalnegotiations', 'friendship', 'basquecountry']",2014
401359,Breakdown Lane,"['whitneymoore', 'williambillconnor', 'owenconway']","['bobschultz', 'robertconway']","['drama', 'horror', 'thriller']",['twilightpictures'],"['infection', 'undead', 'survival']",2017
382589,Rock'n Roll,"['guillaumecanet', 'marioncotillard', 'gilleslellouche']",['guillaumecanet'],"['comedy', 'music']","['m6films', 'lesproductionsdutrésor', 'pathé']","['midlifecrisis', 'plasticsurgery', 'director']",2017
76812,Black Butterfly,"['jonathanrhysmeyers', 'antoniobanderas', 'piperperabo']",['briangoodman'],['thriller'],"['battleplanproductions', 'ambipictures', 'compadreentertainment', 'paradoxstudios']","['screenplay', 'isolation', 'remake']",2017
430448,I Am Jane Doe,['jessicachastain'],['marymazzio'],"['crime', 'documentary']",['5eggs'],"['childsextrade', 'legalsystem', 'childsextrafficking']",2017
