id,popularity,original_title,cast,director,genres,production_companies,vote_average,keywords
293863,3.025852,"[1345, 11738]","[3508, 8374, 227]",[6398],"[11, 1, 7]","[162, 600, 6701]",7.3,"[306, 1944, 41]"
325348,3.023253,"[7363, 1515]","[2883, 4408, 5802]",[21031],"[3, 6, 9]","[3154, 23187]",5.9,"[437, 44, 385]"
228161,2.976436,[208],"[8375, 8376, 271]",[3723],"[11, 2, 13]","[19, 218]",6.9,"[85, 1313, 211]"
286565,2.968254,"[4127, 11739]","[4409, 8377, 15556]",[9691],"[1, 12, 7]",[134],6.2,"[85, 54, 156]"
265208,2.93234,"[307, 7364]","[347, 1789, 2437]",[2173],"[4, 8, 1]","[1909, 96, 6701]",5.3,"[327, 1105, 148]"
254320,2.8851259999999996,[7365],"[316, 537, 5795]",[21032],"[4, 2, 1]","[10335, 2218, 23188]",6.6,[70]
258480,2.883233,[2747],"[386, 3509, 15557]",[3743],"[7, 1]","[854, 245, 6702]",7.1,"[92, 33, 32]"
257211,2.8148020000000002,[4128],"[99, 639, 1390]",[3071],[2],"[4919, 15]",7.1,"[4128, 28]"
253412,2.7980169999999998,[7366],"[4402, 535, 1001]",[3072],"[6, 1]","[14, 206, 601]",6.7,"[465, 11108, 5121]"
274479,2.793297,[2336],"[1000, 749, 99]",[1875],"[2, 1]","[134, 217, 3155]",6.4,"[1237, 683, 5119]"
257088,2.6144990000000004,"[1983, 5315]","[4410, 8378, 1566]",[9692],"[3, 8, 4]","[393, 424, 6703]",5.5,"[212, 1945, 11109]"
295964,2.584264,[7367],"[749, 1391, 5797]",[6399],[1],"[1166, 23189, 2219]",6.3,"[40, 2426, 488]"
238615,2.578919,[11740],"[387, 317, 8379]",[3744],"[9, 12, 4]","[855, 4920]",6.2,"[805, 1944, 5122]"
210860,2.575711,[11741],"[161, 362, 213]",[3745],"[2, 6]","[96, 1663, 2612]",5.3,"[18, 2276, 5488]"
306819,2.557859,"[11742, 144]","[2438, 3505, 3510]",[3746],[1],"[10336, 206, 23190]",7.3,"[65, 7050, 11110]"
201088,2.5507470000000003,[11743],"[1561, 15558, 15559]",[1456],"[12, 8, 3]","[14, 1910, 233]",5.0,"[186, 956, 2277]"
273481,2.487849,[11744],"[582, 1112, 1001]",[6400],"[3, 8, 1]","[96, 2220, 10337]",7.1,"[226, 98, 900]"
166424,2.4870419999999998,"[2748, 1209]","[3511, 1567, 2884]",[9693],"[3, 6, 9]","[19, 3148, 3156]",4.4,"[3978, 1314, 1315]"
310131,2.46449,[79],"[15560, 15561, 15562]",[21033],"[12, 5]","[4921, 4922, 4923]",5.8,"[79, 1316, 26976]"
238713,2.404473,[110],"[4411, 347, 909]",[6401],"[3, 2, 8]","[19, 2613, 10338]",6.9,"[110, 98, 212]"
256591,2.395366,[7368],"[583, 5803, 3512]","[6402, 6403]","[7, 2, 8]","[23191, 10333, 23192]",6.7,"[806, 862, 5123]"
249070,2.354654,"[209, 1717]","[2885, 4412, 15563]",[21034],"[3, 8, 4]","[19, 10339, 10340]",5.5,"[115, 457, 895]"
205775,2.345821,"[567, 196]","[1561, 8380, 1249]",[452],"[4, 1, 6]","[121, 1472, 15]",6.4,"[45, 467, 196]"
334074,2.331636,[1210],"[283, 640, 1790]",[3747],"[8, 4, 3]","[371, 3855, 219]",5.4,"[1184, 102, 819]"
312221,2.3315669999999997,[5316],"[2884, 147, 8381]",[9694],[1],"[26, 15, 29]",7.3,"[409, 30, 26977]"
271718,2.31767,[7369],"[5804, 1568, 2076]",[4760],[2],"[14, 10341, 3157]",6.1,"[112, 1185]"
333352,2.29573,"[971, 1516]","[439, 4413, 1002]",[3748],"[1, 4, 25]","[3158, 3856, 23193]",7.2,"[186, 11111, 26978]"
276907,2.28135,[280],"[1388, 2077, 3513]",[4761],"[8, 4]","[206, 2614, 4924]",6.7,"[38, 291, 1102]"
284289,2.2720439999999997,"[675, 7370]","[270, 2439, 15564]",[21035],[4],[23194],5.5,"[1518, 4225]"
